"param","index","value"
"alpha",66,-3.71016266932449
"alpha",67,-3.60696573016896
"alpha",68,-3.50323127341228
"alpha",69,-3.40825883446805
"alpha",70,-3.31309308198642
"alpha",71,-3.20253920094035
"alpha",72,-3.10584987362201
"alpha",73,-3.00379725282129
"alpha",74,-2.90243572781998
"alpha",75,-2.79831639485494
"alpha",76,-2.70000335989852
"alpha",77,-2.58389231552377
"alpha",78,-2.49231882654159
"alpha",79,-2.39118791031536
"alpha",80,-2.29247920716437
"alpha",81,-2.18609429898341
"alpha",82,-2.0862087934873
"alpha",83,-1.9941477914014
"alpha",84,-1.89736106770797
"alpha",85,-1.79874184137915
"alpha",86,-1.69956165248733
"alpha",87,-1.60810513876979
"alpha",88,-1.51329933172682
"alpha",89,-1.43270400564807
"beta",0,0.0290439361312281
"beta",1,0.0323889065477073
"beta",2,0.0378815108525927
"beta",3,0.0334261968297015
"beta",4,0.0309858679273927
"beta",5,0.0352138343753445
"beta",6,0.0302174676303004
"beta",7,0.0307354050751919
"beta",8,0.0304640514493597
"beta",9,0.0234743779706439
"beta",10,0.0241648949607893
"beta",11,0.0216803124098179
"beta",12,0.024344583418393
"beta",13,0.0196603007237489
"beta",14,0.0193146080117826
"beta",15,0.0163010875723618
"beta",16,0.0178412382637484
"beta",17,0.0168451724416858
"beta",18,0.0117578620738278
"beta",19,0.0113875325773731
"beta",20,0.0109187485672138
"beta",21,0.00946582428504636
"beta",22,0.0119168938567012
"beta",23,0.00920990281271009
"beta",24,0.00987682234354894
"beta",25,0.00864012166072944
"beta",26,0.00896498456184357
"beta",27,0.00834591429388054
"beta",28,0.00766445284038836
"beta",29,0.0101096410117768
"beta",30,0.00993849322474998
"beta",31,0.00914784002928061
"beta",32,0.00886811277433357
"beta",33,0.00893431559472799
"beta",34,0.0075904649027528
"beta",35,0.00764362900120898
"beta",36,0.00745470802507913
"beta",37,0.00741523234136934
"beta",38,0.00673854072520863
"beta",39,0.00790700786776104
"beta",40,0.00685804006287386
"beta",41,0.00747987533552754
"beta",42,0.00630735687360526
"beta",43,0.00649737144045235
"beta",44,0.00760909473921241
"beta",45,0.00740553677652082
"beta",46,0.00783044320337847
"beta",47,0.00666107246622351
"beta",48,0.00804952417341294
"beta",49,0.00792974433747162
"beta",50,0.00784864480414913
"beta",51,0.00735540011211387
"beta",52,0.00767428369968727
"beta",53,0.00712619137172292
"beta",54,0.00718079908930286
"beta",55,0.00734626643820626
"beta",56,0.00746102149473286
"beta",57,0.00770077053000546
"beta",58,0.007338961631387
"beta",59,0.00772983609774645
"beta",60,0.00747590012035907
"beta",61,0.00740035918066205
"beta",62,0.00711658204484449
"beta",63,0.00713419057366283
"beta",64,0.00674979701035432
"beta",65,0.00636312017980966
"beta",66,0.00666033777765552
"beta",67,0.00680616078506464
"beta",68,0.00693747481009452
"beta",69,0.0069208039596888
"beta",70,0.00688286973087383
"beta",71,0.00659748865822375
"beta",72,0.00664016163475642
"beta",73,0.00641639087441377
"beta",74,0.00625688815544125
"beta",75,0.00623535722529938
"beta",76,0.00624813676238451
"beta",77,0.00591014223223282
"beta",78,0.00597420650314281
"beta",79,0.00566825544887246
"beta",80,0.00577070291355977
"beta",81,0.0053419166439796
"beta",82,0.00538777211588044
"beta",83,0.00492440412389428
"beta",84,0.00444177380218409
"beta",85,0.00439821225799617
"beta",86,0.00412529672948729
"beta",87,0.00426063938556553
"beta",88,0.00393626040853536
"beta",89,0.00374736531004524
"kappa",1950,27.8853742864238
"kappa",1951,26.5135956614368
"kappa",1952,23.6209120873372
"kappa",1953,23.1514249927783
"kappa",1954,20.3092016638589
"kappa",1955,18.9280444360681
"kappa",1956,19.4899970711583
"kappa",1957,21.4384781511415
"kappa",1958,15.4521843655043
"kappa",1959,14.764454135076
"kappa",1960,18.0863945366798
"kappa",1961,14.4514667995128
"kappa",1962,17.3731914164822
"kappa",1963,15.6142695409181
"kappa",1964,14.2567636675607
"kappa",1965,13.323027829691
"kappa",1966,12.44991624543
"kappa",1967,11.5990873371219
